# deltaRoads deltaRailVehicles
0 0
6 0
4 0
6 0
5 0
4.66667 0
3 0
4 0
0 0
3 0
0 0
0 0.333333
0 0
0 1
0 0
8 0
6 0
8 0
6 0
8 0
2 0
0 0
0 1
0 0
0 3
0 0
0 1
0 0
0 2
0 0
0 1
0 0
0 1
0 0
1 0
7 0
6 0
8 0
6 0
7 0
8 0
6 0
8 0
9 0
7 0
9 0
0 0
4 0
7 0
1 0
0 0
8 0
7 0
2 0
0 0
2 0
8 0
6 0
8 0
6 0
8 0
5 0
30 0
7 0
8 0
6 0
8 0
5 0
26 0
4 0
9 0
7 0
6 0
1 0
4.5 0
0 0
8 0
10 0
6 0
8 0
7 0
9 0
7 0
6 0
0 0
2 0
8 0
6 0
3 0
2 0
27 0
0 0
8 0
6 0
8 0
0 1
0 0
9 0
6 0
0 2
8 0
0 0
6 0
9 0
8 0
0 0
8 0
6 0
8 0
9 0
6 0
8 0
0 0
8 0
6 0
8 0
6 0
4 0
8 0
7.5 0
6 0
8 0
6 0
8 0
4 0
6 0
0 0
27 0
7 0
8 0
6 0
8 0
9 0
8 0
6 0
9 0
8 0
6 0
2 0
8 0
0 0
7 0
8 0
0 0
4 0
40 0
2 0
0 0
4 0
7 0
1 0
0 0
8 0
5 0
38 0
6 0
27 0
7 0
9 0
6 0
8 0
7 0
5 0
0 0
8 0
6 0
8 0
9 0
8 0
6 0
8 0
7 0
5 0
8 0
6 0
8 0
6 0
0 0
0 1
0 0
0 1
0 0
2 0
5 0
4 0
0 0
6 0
4 0
5 0
1 0
0 0
0 1
0 0
0 2
0 0
7 0
6 0
8 0
27 0
5 0
8 0
10 0
8 0
6 0
2 0
0 0
0 1
0 0
0 1
0 0
6 0
5 0
27 0
7 0
8 0
5 0
7 0
8 0
7 0
8 0
0 1
57 0
0 0
7 0
8 0
27 0
0 1
5 0
0 0
8 0
0 0
26 0
6 0
8 0
2 0
0 0
0 1
0 0
0 1
0 0
1 0
5 0
6 0
0 1
2 0
0 0
0 1
0 0
4 0
7 0
8 0
2 0
6 0
0 0
8 0
2 0
0 0
0 1
0 0
0 2
0 0
2 0
4 0
6 0
2 0
0 0
7 0
5 0
4 0
0 0
1 0
0 0
1 0
0.5 0
0 0
1 0
2.5 0
0 0
0 1
0 0
0 1
0 0
0 1
0 0
2 0
0 0
1 0
13 0
0 0
4 0
6 0
9 0
7 0
8 0
6 0
8 0
0 0
0 1
0 0
0 2
0 0
0 1
0 0
0 1
0 0
0 1
0 0
0 2
0 0
2 0
4 0
0 0
4 0
0 0
4 0
7 0
1 0
0 0
