# deltaRoadVehicles deltaRailVehicles
0 0
0 1
0 0
0 1
0 0
1 0
0 0
22 0
2 0
0 0
0 1
0 0
0 21
0 0
0 1
0 0
0 11
0 0
0 1
0 0
0 10
0 0
11 0
1 0
12 0
0 0
1 0
12 0
1 0
0 0
0 1
0 0
0 11
0 0
1 0
0 0
2 0
0 0
1 0
0 0
12 0
0 0
1 0
11 0
2 0
1 0
0 0
1 0
0 0
12 0
2 0
0 0
1 0
2 0
1 0
0 0
1 0
11 0
2 0
11 0
0 0
0 1
0 0
0 10
0 1
0 0
0 1
0 0
0 11
0 0
1 0
10 0
2 0
0 0
0 1
0 0
0 1
0 0
0 1
0 0
0 10
0 0
1 0
0 0
2 0
22 0
0 0
0 1
0 0
0 1
0 0
0 1
0 0
0 11
0 0
1 0
2 0
0 0
0 1
0 0
0 11
0 0
1 0
2 0
1 0
0 0
0 11
0 0
0 10
0 0
0 1
0 0
1 0
0 0
2 0
12 0
0 0
0 1
0 0
0 11
0 0
0 1
0 0
0 10
0 0
0 1
0 0
0 11
0 0
