# ValueCount deltaRoads
0 0
1 6
2 8
3 6
4 0
5 15
6 2
7 0
8 7
9 11
10 2
11 0
12 6
13 8
14 6
15 8
16 6
17 8
18 12
19 8
20 18
21 0
22 6
23 12
24 8
25 9
26 5
27 16
28 12
29 6
30 8
31 12
32 27
33 9
34 8
35 16
36 2
37 0
38 2
39 6
40 15
41 1
42 0
43 11
44 5
45 4
46 0
47 -2
48 -6
49 -8
50 0
51 6
52 9
53 7
54 8
55 10
56 12
57 8
58 12
59 10
60 9
61 15
62 16
63 14
64 16
65 12
66 10
67 8
68 20
69 2
70 0
71 12
72 8
73 12
74 16
75 10
76 8
77 12
78 8
79 6
80 16
81 27
82 15
83 6
84 8
85 12
86 8
87 6
88 0
89 5
90 35
91 0
92 6
93 12
94 6
95 32
96 0
