# deltaRoads deltaRailways
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 7
0 15
0 23
0 32
0 32
0 32
0 32
0 32
0 32
0 32
0 32
0 32
0 32
0 32
0 32
0 35
0 35
0 35
0 33
0 33
0 33
0 33
0 33
0 33
0 33
0 33
0 33
0 33
0 33
0 33
0 32
0 36
0 40
0 45
0 45
0 45
0 45
0 45
0 45
0 45
0 45
0 45
0 45
0 45
0 45
0 38
0 32
0 27
0 22
0 22
0 22
0 22
0 22
0 22
0 22
0 22
0 22
0 22
0 22
0 22
0 20
0 18
0 14
0 13
0 13
0 13
0 13
0 13
0 13
0 13
0 13
0 13
0 13
0 13
0 13
0 13
0 25
0 38
0 45
0 45
0 45
0 45
0 45
0 45
0 45
0 45
0 45
0 45
0 45
0 45
0 45
0 31
0 17
0 6
0 6
0 6
0 6
0 6
0 6
0 6
0 6
0 6
0 6
0 6
0 6
0 6
0 7
0 9
0 11
0 11
0 11
0 11
0 11
0 11
0 11
0 11
0 11
0 11
0 11
0 11
0 11
0 12
0 11
0 11
0 11
0 11
0 11
0 11
0 11
0 11
0 11
0 11
0 11
0 11
0 11
0 11
0 13
0 16
0 17
0 17
0 17
0 17
0 17
0 17
0 17
0 17
0 17
0 17
0 17
0 17
0 17
0 15
0 13
0 12
0 12
0 12
0 12
0 12
0 12
0 12
0 12
0 12
0 12
0 12
0 12
0 12
0 11
0 10
0 9
0 9
0 9
0 9
0 9
0 9
0 9
0 9
0 9
0 9
0 9
0 9
0 9
0 7
0 6
0 6
0 6
0 6
0 6
0 6
0 6
0 6
0 6
0 6
0 6
0 6
0 6
0 6
0 9
0 11
0 11
0 11
0 11
0 11
0 11
0 11
0 11
0 11
0 11
0 11
0 11
0 11
0 11
0 11
0 13
0 16
0 16
0 16
0 16
0 16
0 16
0 16
0 16
0 16
0 16
0 16
