# deltaRoadVehicles deltaRailways
0 0
0 7
0 8
0 8.5
0 10
0 7
0 9
0 12
0 8.66667
0 6
0 7
0 3.5
0 4
0 3
0 6
0 16
0 14.5
0 2
0 2.33333
0 4
0 3.66667
0 5
0 6
0 5
0 4.5
0 3
0 2.33333
0 2
0 5
0 4.5
0 6
0 5.5
0 4
0 5
0 0
0 1
0 3
0 4
0 3.5
0 5
0 3
0 2
0 4
0 3.5
0 5
0 0
0 5
0 1
0 4
0 0
0 2
0 0
0 1
0 4
0 3
0 4
0 3.5
0 1
0 3
0 0
0 4
0 15
0 1
0 0
0 2
0 4
0 3
0 4
0 3
0 0
0 4
0 3
0 4
0 15
0 4
0 3
0 4
0 2
0 0
0 3
0 5
0 4
0 2
0 1
0 0
0 5
0 3
0 4
0 3
0 4
0 3
0 4
0 5
0 4
0 2
0 0
0 3
0 4
0 5
0 4
0 1
0 0
0 7
0 6
0 14
0 1
0 9
0 12
0 7
0 2
0 4
0 6
0 4
0 1
0 4
0 5
0 6
0 0
0 1
0 5
0 3
0 4
0 5
0 3
0 0
2 0
1 0
2 0
1 0
0 0
0 4
0 15
0 4
0 0
0 1
0 4
0 3
0 4
0 14
0 0
1 0
0 0
3 0
2 0
0 0
0 7
0 3
0 16
0 2
0 10
0 7
0 12
0 2
0 4
0 3
0 6
0 5
0 1
0 3
0 4
0 6
0 0
0 1
0 3
0 5
0 4
0 15
0 3
0 0
0 3
0 4
0 15
0 5
0 1
0 0
0 3
0 4
0 2
0 0
0 8
0 11
0 1
0 6
0 4
0 11
0 7
0 3
0 4
0 5
0 4
0 2
0 3
0 4
0 6
0 5
0 0
0 2
0 15
0 4
0 3
0 4
0 3
0 0
1 0
3 0
0 0
0 17
0 4
0 3
0 4
0 0
0 1
0 0
0 1
0 5
0 4
0 3
0 4
0 0
1 0
2 0
1 0
0 0
0 7
0 12
0 2
0 0
0 9
0 7
0 12
0 7
0 6
0 13
0 2
0 4
0 5
0 4
0 3
0 6
0 4
0 0
0 2
0 10
0 4
0 10
0 0
0 1
0 3
0 4
0 18
0 0
0 1
0 15
0 4
0 3
0 15
0 3
0 0
