# deltaRoads deltaRailVehicles
0 0
0 1
0 0
0 21
0 0
0 1
0 0
0 1
0 0
0 1
0 0
0 1
0 0
0 1
0 0
6 0
4 0
6 0
0 0
17 0
2 0
0 0
7 0
2 0
0 0
2 0
8 0
6 0
8 0
6 0
8 0
18 0
8 0
6 0
0 0
6 0
8 0
9 0
5 0
18 0
18 1
8 1
8 0
6 0
6 31
8 31
8 0
27 0
5 0
8 0
2 0
0 0
2 0
6 0
17 0
1 0
0 0
7 0
5 0
4 0
0 0
0 1
0 0
0 1
0 0
-2 0
-6 0
-8 0
0 0
6 0
9 0
7 0
8 0
6 0
18 0
8 0
6 0
9 0
7 0
8 0
16 0
18 0
8 0
16 0
8 0
18 0
2 0
0 0
8 0
4 0
8 0
16 0
8 0
6 0
18 0
27 0
7 0
6 0
8 0
8 1
4 1
4 0
2 0
0 0
0 11
1 11
1 0
35 0
0 0
6 0
8 0
6 0
32 0
0 0
0 11
0 0
