# deltaRoads deltaRailways
0 0
0 8
7 8
7 17
3 17
3 21
3 24
3 33
10 33
10 27
10 32
10 35
0 35
0 33
0 16
0 11
0 23
0 30
0 23
0 9
0 8
0 15
0 16
0 24
0 33
0 34
0 21
0 19
0 21
0 24
0 11
0 19
0 22
0 11
0 13
0 23
0 22
0 19
0 21
0 23
0 10
0 12
0 9
0 10
0 20
0 22
0 33
0 24
0 19
0 8
0 9
0 8
0 4
0 0
0 1
0 14
0 24
0 3
0 4
0 13
0 0
0 2
0 4
0 3
0 4
0 3
0 12
0 0
0 4
0 19
0 4
0 3
0 14
0 4
0 1
0 0
0 4
0 3
0 14
0 4
0 2
0 0
10 0
16 0
8 0
7 0
12 0
6 0
8 0
12 0
8 0
6 0
8 0
16 0
6 0
6 4
8 4
8 14
8 3
2 3
2 14
0 14
0 3
0 5
0 2
0 4
0 14
0 24
0 3
0 4
0 14
0 2
0 0
0 1
0 24
0 4
0 3
0 4
0 14
0 3
0 4
0 0
0 4
0 3
0 0
0 4
0 26
0 0
1 0
0 0
0 3
0 4
0 3
0 4
0 24
0 14
0 3
0 14
0 3
0 0
2 0
14 0
6 0
2 0
0 0
4 0
7 0
1 0
0 0
0 7
0 6
0 14
0 7
0 3
0 12
0 7
0 12
0 3
0 4
0 6
0 15
0 0
0 14
0 6
0 13
0 3
0 0
1 0
7 0
12 0
8 0
10 0
8 0
10 0
26 0
12 0
8 0
24 0
12 0
0 0
6 0
10 0
4 0
0 0
0 2
0 4
0 14
0 3
0 4
0 14
0 15
0 3
0 4
0 0
2 0
8 0
12 0
14 0
12 0
17 0
9 0
8 0
16 0
8 0
6 0
8 0
12 0
2 0
0 0
6 0
10 0
8 0
12 0
18 0
12 0
9 0
11 0
6 0
8 0
12 0
6 0
70 0
21 0
11 0
10 0
12 0
6 0
16 0
0 0
0 1
0 4
0 78
0 1
0 0
0 13
0 4
0 14
0 3
0 4
0 0
10 0
6 0
4 0
0 0
8 0
10 0
8 0
16 0
