# deltaRoads deltaRailVehicles
0 0
7 0
3 0
10 0
0 0
10 0
16 0
8 0
7 0
12 0
6 0
8 0
12 0
8 0
6 0
8 0
16 0
6 0
8 0
2 0
0 0
0 1
0 0
0 9
0 19
0 0
0 1
0 0
0 1
0 0
1 0
0 0
0 1
0 0
0 10
0 0
2 0
14 0
6 0
2 0
0 0
4 0
7 0
1 0
0 0
1 0
7 0
12 0
8 0
10 0
8 0
10 0
26 0
12 0
8 0
24 0
12 0
0 0
6 0
10 0
4 0
0 0
2 0
8 0
12 0
14 0
12 0
17 0
9 0
8 0
16 0
8 0
6 0
8 0
12 0
2 0
0 0
6 0
10 0
8 0
12 0
18 0
12 0
9 0
11 0
6 0
8 0
12 0
6 0
70 0
21 0
11 0
10 0
12 0
6 0
16 0
0 0
0 1
0 0
0 1
0 0
10 0
6 0
4 0
0 0
8 0
10 0
8 0
16 0
