# deltaRoadVehicles deltaRailways
0 0
0 7
0 15
0 23
0 32
0 35
0 33
0 32
0 36
0 40
0 45
0 38
0 32
0 27
0 22
0 20
0 18
0 14
0 13
0 25
0 38
0 45
0 31
0 17
0 6
0 7
0 9
0 11
0 12
0 11
0 12
0 14
0 17
0 15
0 14
0 13
0 12
0 10
0 9
0 7
0 6
0 10
0 13
0 12
0 13
0 16
0 17
0 15
0 13
0 14
0 8
0 4
0 0
0 2
0 5
0 7
0 8
0 7
0 9
0 8
0 10
0 9
0 10
0 11
0 12
0 8
0 10
0 6
0 5
0 4
0 2
0 0
0 1
0 4
0 3
0 4
0 8
0 7
0 5
0 4
0 3
0 4
0 15
0 1
0 0
0 2
0 4
0 3
0 4
0 3
0 0
0 4
0 3
0 4
0 15
0 4
0 3
0 4
0 2
0 0
0 3
0 5
0 4
0 2
0 3
0 1
0 5
0 3
0 4
0 3
0 4
0 3
0 4
0 5
0 4
0 2
0 0
0 3
0 4
0 5
0 4
0 1
0 0
0 7
0 6
0 14
0 1
0 9
0 12
0 7
0 2
0 4
0 6
0 4
0 1
0 4
0 5
0 6
0 0
0 1
0 5
0 3
0 4
0 5
0 3
0 0
2 0
1 0
2 0
1 0
0 0
0 4
0 15
0 4
0 0
0 1
0 4
0 3
0 4
0 14
0 0
1 0
0 0
3 0
2 0
0 0
0 7
0 3
0 16
0 2
0 10
0 7
0 12
0 2
0 4
0 3
0 6
0 5
0 1
0 3
0 4
0 6
0 0
0 1
0 3
0 5
0 4
0 15
0 3
0 0
0 3
0 4
0 15
0 5
0 1
0 0
0 3
0 4
0 2
0 0
0 8
0 11
0 1
0 6
0 4
0 11
0 7
0 3
0 4
0 5
0 4
0 2
0 3
0 4
0 6
0 5
0 0
0 2
0 15
0 4
0 3
0 4
0 3
0 0
1 0
3 0
0 0
0 17
0 4
0 3
0 4
0 0
0 1
0 0
0 1
0 5
0 4
0 3
0 4
0 0
1 0
2 0
1 0
0 0
0 7
0 12
0 2
0 0
0 9
0 7
0 12
0 7
0 6
0 13
0 2
0 4
0 5
0 4
0 3
0 6
0 4
0 0
0 2
0 10
0 4
0 10
0 0
0 1
0 3
0 4
0 18
0 0
0 1
0 15
0 4
0 3
0 15
0 3
0 0
