# ValueCount deltaRoads
0 0
1 7
2 3
3 10
4 0
5 10
6 16
7 8
8 7
9 12
10 6
11 8
12 12
13 8
14 6
15 8
16 16
17 6
18 8
19 2
20 0
21 1
22 0
23 2
24 14
25 6
26 2
27 0
28 4
29 7
30 1
31 0
32 1
33 7
34 12
35 8
36 10
37 8
38 10
39 26
40 12
41 8
42 24
43 12
44 0
45 6
46 10
47 4
48 0
49 2
50 8
51 12
52 14
53 12
54 17
55 9
56 8
57 16
58 8
59 6
60 8
61 12
62 2
63 0
64 6
65 10
66 8
67 12
68 18
69 12
70 9
71 11
72 6
73 8
74 12
75 6
76 70
77 21
78 11
79 10
80 12
81 6
82 16
83 0
84 10
85 6
86 4
87 0
88 8
89 10
90 8
91 16
