# deltaRailways deltaRailVehicles
0 0
8 0
17 0
21 0
24 0
33 0
27 0
32 0
35 0
33 0
16 0
11 0
23 0
30 0
23 0
9 0
8 0
15 0
16 0
24 0
33 0
34 0
21 0
19 0
21 0
24 0
11 0
19 0
22 0
11 0
13 0
23 0
22 0
19 0
21 0
23 0
10 0
12 0
9 0
10 0
20 0
22 0
33 0
24 0
19 0
8 0
9 0
8 0
4 0
0 0
1 0
14 0
24 0
3 0
4 0
13 0
0 0
2 0
4 0
3 0
4 0
3 0
12 0
0 0
4 0
19 0
4 0
3 0
14 0
4 0
1 0
0 0
4 0
3 0
14 0
4 0
2 0
0 0
4 0
14 0
3 0
14 0
3 0
5 0
2 0
4 0
14 0
24 0
3 0
4 0
14 0
2 0
0 0
1 0
24 0
4 0
3 0
4 0
14 0
3 0
4 0
0 1
0 0
0 9
0 19
0 0
4 0
3 0
0 0
4 0
26 0
0 1
0 0
0 1
0 0
3 0
4 0
3 0
4 0
24 0
14 0
3 0
14 0
3 0
0 1
0 0
0 10
0 0
7 0
6 0
14 0
7 0
3 0
12 0
7 0
12 0
3 0
4 0
6 0
15 0
0 0
14 0
6 0
13 0
3 0
0 0
2 0
4 0
14 0
3 0
4 0
14 0
15 0
3 0
4 0
0 0
1 0
4 0
78 0
1 0
0 0
13 0
4 0
14 0
3 0
4 0
0 1
0 0
0 1
0 0
