# Money CompanyValue
100000 0
100000 1
100000 1
100000 1
100000 1
100000 1
100000 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
99880 1
97945 1
97945 1
97945 1
97945 1
97840 1
97840 1
97840 1
97840 1
97735 1
97735 1
97735 235
97735 235
97630 235
97630 235
97630 235
97630 235
97525 235
97525 235
97525 235
97525 235
97450 235
97450 235
97450 235
97450 235
97375 235
97375 1
97375 1
97375 1
97300 1
97300 1
97300 1
97300 1
97225 1
97225 1
97225 1
97225 1
97120 1
97120 1
97120 1
97120 1
91015 1
91015 1
91015 1
91015 1
90967 1
90967 1
90967 1
90967 1
90919 1
90919 1
90919 1
90919 1
88984 1
88984 1
88984 1
88984 1
88879 1
88879 1
88879 1
88879 1
88774 1
88774 1
88774 1
88774 1
88669 1
88669 1
88669 1
88669 1
88564 1
88564 1
88564 1
88564 1
88489 1
88489 1
88489 1
88489 1
88414 1
88414 1
88414 1
88414 1
88339 1
88339 1
88339 1
88339 1
88264 1
88264 1
88264 1
88264 1
88159 1
88159 1
88159 1
88159 1
87604 1
87604 1
87604 1
87604 1
87556 1
87556 1
87556 1
87556 1
87508 1
87508 1
87508 1
87508 1
87216 1
87216 1
87216 1
87216 1
86924 1
86924 1
86924 1
86924 1
86632 1
86632 1
86632 1
86632 1
86340 1
86340 1
86340 1
86340 1
86048 1
86048 1
86048 1
86048 1
85943 1
85943 1
85943 1
85943 1
85838 1
85838 1
85838 1
85838 1
85546 1
85546 1
85546 1
85546 1
85254 1
85254 1
85254 1
85254 1
85179 1
85179 1
85179 1
85179 1
85074 1
85074 1
85074 1
85074 1
84969 1
84969 1
84969 1
84969 1
84864 1
84864 1
84864 1
84864 1
84572 1
84572 1
84572 1
84572 1
84280 1
84280 1
84280 1
84280 1
84205 1
