# Money deltaRoads
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
97945 0
97945 0
97945 0
97945 0
97840 0
97840 0
97840 0
97840 0
97735 0
97735 0
97735 0
97735 0
97630 0
97630 0
97630 0
97630 0
97525 0
97525 0
97525 0
97525 0
97450 0
97450 0
97450 0
97450 0
97375 0
97375 0
97375 0
97375 0
97300 0
97300 0
97300 0
97300 0
97225 0
97225 0
97225 0
97225 0
97120 0
97120 0
97120 0
97120 0
91015 0
91015 0
91015 0
91015 0
90967 0
90967 0
90967 0
90967 0
90919 0
90919 0
90919 0
90919 0
88984 0
88984 0
88984 0
88984 0
88879 0
88879 0
88879 0
88879 0
88774 0
88774 0
88774 0
88774 0
88669 0
88669 0
88669 0
88669 0
88564 0
88564 0
88564 0
88564 0
88489 0
88489 0
88489 0
88489 0
88414 0
88414 0
88414 0
88414 0
88339 0
88339 0
88339 0
88339 0
88264 0
88264 0
88264 0
88264 0
88159 0
88159 0
88159 0
88159 0
87604 0
87604 0
87604 0
87604 0
87556 0
87556 0
87556 0
87556 0
87508 0
87508 0
87508 0
87508 0
87216 0
87216 0
87216 0
87216 0
86924 0
86924 0
86924 0
86924 0
86632 0
86632 0
86632 0
86632 0
86340 0
86340 0
86340 0
86340 0
86048 0
86048 0
86048 0
86048 0
85943 0
85943 0
85943 0
85943 0
85838 0
85838 0
85838 0
85838 0
85546 0
85546 0
85546 0
85546 0
85254 0
85254 0
85254 0
85254 0
85179 0
85179 0
85179 0
85179 0
85074 0
85074 0
85074 0
85074 0
84969 0
84969 0
84969 0
84969 0
84864 0
84864 0
84864 0
84864 0
84572 0
84572 0
84572 0
84572 0
84280 0
84280 0
84280 0
84280 0
84205 0
84205 0
84205 0
84205 0
84157 0
84157 0
84157 0
84157 0
84109 0
84109 0
84109 0
84109 0
84061 0
84061 0
84061 0
84061 0
84013 0
84013 0
84013 0
84013 0
83908 0
83908 0
83908 0
83908 0
83803 0
83803 0
83803 0
83803 0
83698 0
83698 0
83698 0
83698 0
83593 0
83593 0
83593 0
83593 0
83488 0
83488 0
83488 0
83488 0
83383 0
83383 0
83383 0
83383 0
83278 0
83278 0
83278 0
83278 0
83173 0
83173 0
83173 0
83173 0
83068 0
83068 0
83068 0
83068 0
82993 0
82993 0
82993 0
82993 0
82701 0
82701 0
82701 0
82701 0
82409 0
82409 0
82409 0
82409 0
82304 0
82304 0
82304 0
82304 0
82199 0
82199 0
82199 0
82199 0
82094 0
82094 0
82094 0
82094 0
82019 0
82019 0
82019 0
82019 0
81971 0
81971 0
81971 0
81971 0
81923 0
81923 0
81923 0
81923 0
81875 0
81875 0
81875 0
81875 0
81827 0
81827 0
81827 0
81827 0
81827 0
81827 0
81827 0
81827 0
81827 0
81827 0
81827 0
81827 0
81827 0
81827 0
81827 0
81827 0
81827 0
81827 0
81827 0
81827 0
