# Money deltaRailVehicles
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
100000 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
99880 0
97945 0
97945 0
97945 0
97945 0
97840 0
97840 0
97840 0
97840 0
97735 0
97735 0
97735 0
97735 0
97630 0
97630 0
97630 0
97630 0
97525 0
97525 0
97525 0
97525 0
97450 0
97450 0
97450 0
97450 0
97375 0
97375 0
97375 0
97375 0
97300 0
97300 0
97300 0
97300 0
97225 0
97225 0
97225 0
97225 0
97120 0
97120 0
97120 0
97120 0
96565 0
96565 0
96565 0
96565 0
96517 0
96517 0
96517 0
96517 0
96469 0
96469 0
96469 0
96469 0
94534 0
94534 0
94534 0
94534 0
94429 0
94429 0
94429 0
94429 0
94324 0
94324 0
94324 0
94324 0
94219 0
94219 0
94219 0
94219 0
94114 0
94114 0
94114 0
94114 0
94039 0
94039 0
94039 0
94039 0
93964 0
93964 0
93964 0
93964 0
93889 0
93889 0
93889 0
93889 0
93814 0
93814 0
93814 0
93814 0
93709 0
93709 0
93709 0
93709 0
93154 0
93154 0
93154 0
93154 0
93106 0
93106 0
93106 0
93106 0
93058 0
93058 0
93058 0
93058 0
92766 0
92766 0
92766 0
92766 0
92474 0
92474 0
92474 0
92474 0
92182 0
92182 0
92182 0
92182 0
91890 0
91890 0
91890 0
91890 0
91598 0
91598 0
91598 0
91598 0
91493 0
91493 0
91493 0
91493 0
91388 0
91388 0
91388 0
91388 0
91096 0
91096 0
91096 0
91096 0
90804 0
90804 0
90804 0
90804 0
90729 0
90729 0
90729 0
90729 0
90624 0
90624 0
90624 0
90624 0
90519 0
90519 0
90519 0
90519 0
90414 0
90414 0
90414 0
90414 0
90122 0
90122 0
90122 0
90122 0
89830 0
89830 0
89830 0
89830 0
89755 0
89755 0
89755 0
89755 0
89707 0
89707 0
89707 0
89707 0
89659 0
89659 0
89659 0
89659 0
89611 0
89611 0
89611 0
89611 0
89563 0
89563 0
89563 0
89563 0
89458 0
89458 0
89458 0
89458 0
89353 0
89353 0
89353 0
89353 0
89248 0
89248 0
89248 0
89248 0
89143 0
89143 0
89143 0
89143 0
89038 0
89038 0
89038 0
89038 0
88933 0
88933 0
88933 0
88933 0
88828 0
88828 0
88828 0
88828 0
88723 0
88723 0
88723 0
88723 0
88618 0
88618 0
88618 0
88618 0
88543 0
88543 0
88543 0
88543 0
88251 0
88251 0
88251 0
88251 0
87959 0
87959 0
87959 0
87959 0
87854 0
87854 0
87854 0
87854 0
87749 0
87749 0
87749 0
87749 0
87644 0
87644 0
87644 0
87644 0
87569 0
87569 0
87569 0
87569 0
87521 0
87521 0
87521 0
87521 0
87473 0
87473 0
87473 0
87473 0
87425 0
87425 0
87425 0
87425 0
87377 0
87377 0
87377 0
87377 0
87377 0
87377 0
87377 0
87377 0
87377 0
87377 0
87377 0
87377 0
87377 0
87377 0
87377 0
87377 0
87377 0
87377 0
87377 0
87377 0
